molecule,communityId
NM_001011708,1
NM_001011713,1
NM_001011718,1
NM_001011880,1
NM_001011885,1
NM_001012241,1
NM_001012267,1
NM_001012300,1
NM_001012302,1
NM_001012320,1
NM_001012329,1
NM_001012333,1
NM_001012334,1
NM_001012338,1
NM_001012339,1
NM_001012361,1
NM_001012393,1
NM_001012398,1
NM_001012414,1
NM_001012418,1
NM_001012426,1
NM_001012427,1
NM_001012428,1
NM_001012454,1
NM_001012455,1
NM_001012478,1
NM_001012502,1
NM_001012505,1
NM_001012511,1
NM_001012514,1
NM_001012516,1
NM_001012659,1
NM_001012729,1
NM_001012750,1
NM_001012751,1
NM_001012752,1
NM_001012753,1
NM_001012754,1
NM_001012755,1
NM_001012756,1
NM_001012758,1
NM_001012761,1
NM_001012763,1
NM_001012957,1
NM_001012958,1
NM_001012959,1
NM_001012964,1
NM_001012965,1
NM_001012968,1
NM_001012973,1
NM_001012980,1
NM_001012981,1
NM_001012994,1
NM_001013253,1
NM_001013254,1
NM_001013406,1
NM_001013415,1
NM_001013436,1
NM_001013437,1
NM_001013438,1
NM_001013439,1
NM_001013615,1
NM_001013619,1
NM_001013620,1
NM_001013627,1
NM_001013628,1
NM_001013635,1
NM_001013647,1
NM_001013659,1
NM_001013660,1
NM_001013698,1
NM_001013703,1
NM_001013742,1
NM_001013746,1
NM_001013848,1
NM_001014283,1
NM_001014342,1
NM_001014380,1
NM_001014431,1
NM_001014432,1
NM_001014434,1
NM_001014436,1
NM_001014443,1
NM_001014445,1
NM_001014449,1
NM_001014451,1
NM_001014794,1
NM_001014795,1
NM_001014796,1
NM_001014797,1
NM_001014831,1
NM_001014832,1
NM_001014834,1
NM_001014835,1
NM_001015045,1
NM_001015048,1
NM_001015049,1
NM_001015051,1
NM_001015053,1
NM_001015508,1
NM_001015877,1
NM_001015880,1
NM_001015887,1
NM_001017368,1
NM_001017369,1
NM_001017370,1
NM_001017371,1
NM_001017373,1
NM_001017388,1
NM_001017392,1
NM_001017402,1
NM_001017408,1
NM_001017415,1
NM_001017424,1
NM_001017425,1
NM_001017523,1
NM_001017536,1
NM_001017919,1
NM_001017922,1
NM_001017923,1
NM_001017926,1
NM_001017930,1
NM_001017956,1
NM_001017957,1
NM_001017958,1
NM_001017961,1
NM_001017962,1
NM_001017963,1
NM_001017969,1
NM_001017970,1
NM_001017977,1
NM_001017980,1
NM_001017987,1
NM_001017989,1
NM_001017992,1
NM_001017995,1
NM_001017999,1
NM_001018000,1
NM_001018001,1
NM_001018003,1
NM_001018009,1
NM_001018011,1
NM_001018036,1
NM_001018037,1
NM_001018038,1
NM_001018039,1
NM_001018044,1
NM_001018050,1
NM_001018052,1
NM_001018053,1
NM_001018056,1
NM_001018057,1
NM_001018058,1
NM_001018066,1
NM_001018067,1
NM_001018068,1
NM_001018069,1
NM_001018072,1
NM_001018076,1
NM_001018077,1
NM_001018088,1
NM_001018090,1
NM_001018091,1
NM_001018100,1
NM_001018108,1
NM_001018109,1
NM_001018116,1
NM_001018837,1
NM_001019,1
NM_001020658,1
NM_001020818,1
NM_001020819,1
NM_001020820,1
NM_001020821,1
NM_001020825,1
NM_001023560,1
NM_001023561,1
NM_001023563,1
NM_001023567,1
NM_001023587,1
NM_001024074,1
NM_001024075,1
NM_001024094,1
NM_001024216,1
NM_001024218,1
NM_001024226,1
NM_001024227,1
NM_001024228,1
NM_001024372,1
NM_001024381,1
NM_001024383,1
NM_001024401,1
NM_001024465,1
NM_001024466,1
NM_001024596,1
NM_001024628,1
NM_001024629,1
NM_001024630,1
NM_001024647,1
NM_001024649,1
NM_001024660,1
NM_001024666,1
NM_001024674,1
NM_001024680,1
NM_001024688,1
NM_001024736,1
NM_001024809,1
NM_001024843,1
NM_001024847,1
NM_001024855,1
NM_001024912,1
NM_001024921,1
NM_001024934,1
NM_001024935,1
NM_001024936,1
NM_001024947,1
NM_001024948,1
NM_001024956,1
NM_001024959,1
NM_001024960,1
NM_001025,1
NM_001025068,1
NM_001025069,1
NM_001025076,1
NM_001025077,1
NM_001025081,1
NM_001025087,1
