miR,communityId
NM_001143823,3272
NM_001143941,3272
NM_001143976,3272
NM_001143998,3272
NM_001144877,3272
NM_001144918,3272
NM_001145079,3272
NM_001145443,3272
NM_001145451,3272
NM_001145951,3272
NM_001146094,3272
NM_001146095,3272
NM_001146096,3272
NM_001153446,3272
NM_001153585,3272
NM_001164097,3272
NM_001164098,3272
NM_001164271,3272
NM_001164386,3272
NM_001164443,3272
NM_001164501,3272
NM_001164629,3272
NM_001164664,3272
NM_001165255,3272
NM_001165258,3272
NM_001166060,3272
NM_001166119,3272
NM_001166139,3272
NM_001166212,3272
NM_001166271,3272
NM_001166599,3272
NM_001166600,3272
NM_001166699,3272
NM_001166700,3272
NM_001166701,3272
NM_001166702,3272
NM_001166703,3272
NM_001166704,3272
NM_001167941,3272
NM_001168338,3272
NM_001168393,3272
NM_001168394,3272
NM_001170331,3272
NM_001170756,3272
NM_001172415,3272
NM_001172705,3272
NM_001174092,3272
NM_001177,3272
NM_001177315,3272
NM_001177643,3272
NM_001178,3272
NM_001184985,3272
NM_001190481,3272
NM_001193278,3272
NM_001193279,3272
NM_001193360,3272
NM_001193361,3272
NM_001193363,3272
NM_001195193,3272
NM_001195798,3272
NM_001195799,3272
NM_001195800,3272
NM_001195803,3272
NM_001197030,3272
NM_001198953,3272
NM_001199251,3272
NM_001199261,3272
NM_001199707,3272
NM_001199708,3272
NM_001199942,3272
NM_001201528,3272
NM_001201529,3272
NM_001203,3272
NM_001204,3272
NM_001204077,3272
NM_001204146,3272
NM_001204353,3272
NM_001204408,3272
NM_001204410,3272
NM_001204456,3272
NM_001204961,3272
NM_001204963,3272
NM_001205220,3272
NM_001206612,3272
NM_001207011,3272
NM_001212,3272
NM_001242617,3272
NM_001242618,3272
NM_001243767,3272
NM_001243797,3272
NM_001243798,3272
NM_001244808,3272
NM_001244810,3272
NM_001244816,3272
NM_001251974,3272
NM_001252499,3272
NM_001252624,3272
NM_001253388,3272
NM_001253699,3272
NM_001256792,3272
NM_001256793,3272
NM_001256794,3272
NM_001256821,3272
NM_001257198,3272
NM_001258019,3272
NM_001258330,3272
NM_001258417,3272
NM_001260508,3272
NM_001265602,3272
NM_001267046,3272
NM_001267803,3272
NM_001267805,3272
NM_001267806,3272
NM_001270519,3272
NM_001270520,3272
NM_001270528,3272
NM_001270530,3272
NM_001271033,3272
NM_001271186,3272
NM_001271187,3272
NM_001271685,3272
NM_001271732,3272
NM_001271774,3272
NM_001271775,3272
NM_001271776,3272
NM_001271870,3272
NM_001271998,3272
NM_001276457,3272
NM_001276696,3272
NM_001276697,3272
NM_001276760,3272
NM_001278248,3272
NM_001278306,3272
NM_001278307,3272
NM_001278308,3272
NM_001278356,3272
NM_001278357,3272
NM_001278411,3272
NM_001278412,3272
NM_001278742,3272
NM_001278743,3272
NM_001281741,3272
NM_001281742,3272
NM_001281771,3272
NM_001281772,3272
NM_001281773,3272
NM_001281774,3272
NM_001281775,3272
NM_001281776,3272
NM_001281777,3272
NM_001281782,3272
NM_001281784,3272
NM_001282630,3272
NM_001282696,3272
NM_001282697,3272
NM_001282698,3272
NM_001282700,3272
NM_001282701,3272
NM_001282703,3272
NM_001282758,3272
NM_001282759,3272
NM_001284234,3272
NM_001284317,3272
NM_001284318,3272
NM_001284400,3272
NM_001285444,3272
NM_001285445,3272
NM_001285447,3272
NM_001285448,3272
NM_001285449,3272
NM_001286042,3272
NM_001286043,3272
NM_001286044,3272
NM_001286188,3272
NM_001286189,3272
NM_001286657,3272
NM_001286660,3272
NM_001286793,3272
NM_001287036,3272
NM_001287755,3272
NM_001287815,3272
NM_001288656,3272
NM_001288706,3272
NM_001288735,3272
NM_001288736,3272
NM_001288772,3272
NM_001289108,3272
NM_001289412,3272
NM_001290077,3272
NM_001290078,3272
NM_001291416,3272
NM_001291417,3272
NM_001291421,3272
NM_001293725,3272
NM_001297551,3272
NM_001297651,3272
NM_001297719,3272
NM_001297722,3272
NM_001301068,3272
NM_001301110,3272
NM_001301206,3272
NM_001301829,3272
NM_001304420,3272
NM_001304476,3272
NM_001304477,3272
NM_001304792,3272
NM_001304990,3272
NM_001308027,3272
NM_001308210,3272
