from,to
hsa-miR-127-5p,XM_047416910
hsa-miR-127-5p,XM_047420306
hsa-miR-127-5p,XM_047420989
hsa-miR-127-5p,XM_047433555
hsa-miR-127-5p,XM_047433556
hsa-miR-127-5p,XM_047440988
hsa-miR-127-5p,XM_047443490
hsa-miR-127-5p,XM_047443749
hsa-miR-134-5p,NM_000348
hsa-miR-134-5p,NM_000465
hsa-miR-134-5p,NM_001003692
hsa-miR-134-5p,NM_001007523
hsa-miR-134-5p,NM_001007524
hsa-miR-134-5p,NM_001025242
hsa-miR-134-5p,NM_001025243
hsa-miR-134-5p,NM_001031801
hsa-miR-134-5p,NM_001035505
hsa-miR-134-5p,NM_001035534
hsa-miR-134-5p,NM_001037808
hsa-miR-134-5p,NM_001040653
hsa-miR-134-5p,NM_001042610
hsa-miR-134-5p,NM_001080790
hsa-miR-134-5p,NM_001080850
hsa-miR-134-5p,NM_001085447
hsa-miR-134-5p,NM_001099661
hsa-miR-134-5p,NM_001114133
hsa-miR-134-5p,NM_001128617
hsa-miR-134-5p,NM_001129
hsa-miR-134-5p,NM_001130438
hsa-miR-134-5p,NM_001131034
hsa-miR-134-5p,NM_001136038
hsa-miR-134-5p,NM_001142352
hsa-miR-134-5p,NM_001145080
hsa-miR-134-5p,NM_001152
hsa-miR-134-5p,NM_001162894
hsa-miR-134-5p,NM_001162895
hsa-miR-134-5p,NM_001164270
hsa-miR-134-5p,NM_001164309
hsa-miR-134-5p,NM_001164824
hsa-miR-134-5p,NM_001168355
hsa-miR-134-5p,NM_001177428
hsa-miR-134-5p,NM_001177433
hsa-miR-134-5p,NM_001193318
hsa-miR-134-5p,NM_001195532
hsa-miR-134-5p,NM_001199142
hsa-miR-134-5p,NM_001199295
hsa-miR-134-5p,NM_001204869
hsa-miR-134-5p,NM_001204872
hsa-miR-134-5p,NM_001204873
hsa-miR-134-5p,NM_001243325
hsa-miR-134-5p,NM_001256022
hsa-miR-134-5p,NM_001256421
hsa-miR-134-5p,NM_001256422
hsa-miR-134-5p,NM_001256829
hsa-miR-134-5p,NM_001257160
hsa-miR-134-5p,NM_001267574
hsa-miR-134-5p,NM_001270425
hsa-miR-134-5p,NM_001271888
hsa-miR-134-5p,NM_001277233
hsa-miR-134-5p,NM_001282409
hsa-miR-134-5p,NM_001282412
hsa-miR-134-5p,NM_001282413
hsa-miR-134-5p,NM_001282545
hsa-miR-134-5p,NM_001286416
hsa-miR-134-5p,NM_001286478
hsa-miR-134-5p,NM_001289027
hsa-miR-134-5p,NM_001297741
hsa-miR-134-5p,NM_001297742
hsa-miR-134-5p,NM_001300796
hsa-miR-134-5p,NM_001317918
hsa-miR-134-5p,NM_001318809
hsa-miR-134-5p,NM_001320972
hsa-miR-134-5p,NM_001324445
hsa-miR-134-5p,NM_001330297
hsa-miR-134-5p,NM_001331008
hsa-miR-134-5p,NM_001331009
hsa-miR-134-5p,NM_001331011
hsa-miR-134-5p,NM_001331012
hsa-miR-134-5p,NM_001349956
hsa-miR-134-5p,NM_001363735
hsa-miR-134-5p,NM_001365241
hsa-miR-134-5p,NM_001365242
hsa-miR-134-5p,NM_001365243
hsa-miR-134-5p,NM_001365710
hsa-miR-134-5p,NM_001366796
hsa-miR-134-5p,NM_001368120
hsa-miR-134-5p,NM_001371403
hsa-miR-134-5p,NM_001371416
hsa-miR-134-5p,NM_001371417
hsa-miR-134-5p,NM_001371661
hsa-miR-134-5p,NM_001375312
hsa-miR-134-5p,NM_001379150
hsa-miR-134-5p,NM_001395382
hsa-miR-134-5p,NM_001395383
hsa-miR-134-5p,NM_001395384
hsa-miR-134-5p,NM_001395385
hsa-miR-134-5p,NM_001395401
hsa-miR-134-5p,NM_001395517
hsa-miR-134-5p,NM_001400692
hsa-miR-134-5p,NM_001400693
hsa-miR-134-5p,NM_001661
hsa-miR-134-5p,NM_002287
hsa-miR-134-5p,NM_002875
hsa-miR-134-5p,NM_002995
hsa-miR-134-5p,NM_003206
hsa-miR-134-5p,NM_003273
hsa-miR-134-5p,NM_003604
hsa-miR-134-5p,NM_003618
hsa-miR-134-5p,NM_003637
hsa-miR-134-5p,NM_003752
hsa-miR-134-5p,NM_003754
hsa-miR-134-5p,NM_003860
hsa-miR-134-5p,NM_003882
hsa-miR-134-5p,NM_004074
